名前,写真,季節,場所,説明,予防法,対処法,リアル写真,,参考文献,
アシダカグモ,,5月〜8月,ゴギブリが生息している家屋,好きな食べ物はゴギブリとコオロギ。アシダカグモが出現したら、必然的にゴキブリが家に住み着いていると考えた方がいい。害虫がいなくなると次の餌場を求め旅立って行くため、アシダカグモだけが繁殖していくことはまずない。ゴキブリを食べてくれるため益虫である,ゴキブリを発生させない,殺虫剤をかける。卵には効かないため見つけたらティッシュでくるみゴミに出す,,,ミツモア,
アダンソンハエトリ,,3月〜11月,ハエや害虫のいる家屋,全国の屋内で最も見られるクモで体長1cmほど。ピョンピョン跳ねることも多く、逃げられることも多い。毒がなく無害で、巣も張らないため基本的に害虫を食べてくれる益虫である,生ゴミ等放置せず、ハエ等の害虫を発生させない,ティッシュや箱に詰めて外に逃がす。殺虫剤をかける,,,アース製薬,
アブ,,(4月)6月～9月,小川、水田、沼、湿地。種類によっては林、草地の土壌や朽木、牧場や家畜が飼育されている場所,アブは昼行性であり、被害に遭いやすいのは主に朝方か夕方。アブに噛まれた場所は赤く腫れ、激しいかゆみが2～3週間続くこともある,虫よけの使用、車のエンジンを止める、赤、黒、紺を避けた厚手の長袖,傷口を流水でよく洗い流し、血をしぼり出すようにする。 止血した後は抗ヒスタミン剤を含むステロイド軟膏などあれば塗布し、患部を冷やす,,,DUSKIN,
アブラムシ,,4月～11月,日当たり不足の観葉植物,アブラムシはアミノ酸を好むため、窒素分の肥料を与えすぎると寄ってくる原因になる。また、窓を開けていなくても衣類や鞄に飛びついて家の中に招き入れてしまうこともある,アルミを株元を覆い、日光を反射させる。ハーブを混植してアブラムシの狙いを忌避する。アリの駆除。枝の選定や雑草の防除。唐辛子を漬けたアルコールを1週間に1回散布する（作り方：アルコール度数35度以上のお酒に唐辛子を1カ月程度漬け込む。約300倍水で希釈し、霧吹きに使うスプレーボトルに入れて散布。定期的に植物に吹きかける。）,黄色の粘着シートを設置、また黄色のバケツに捕殺液をいれて溺死させる。牛乳をスプレーボトルで散布し窒息死させる（乾燥した段階で水で流す）。,,,ｆｏｒ　YOUR　LIFE（フマキラー？）,
アリ,,6月～11月,家の中、庭、観葉植物,雑食性と吸蜜性のアリがいる。雑食性は民家の周りに多く、蜜も食すが虫の死骸を好んで食べ餌を運ぶ習性がある。吸蜜性のアリは雑木林周辺に生息し、砂糖や蜜をなめる。餌を運ぶ習性は弱い。外来種であるイエヒメアリやアルゼンチンアリは土の中だけでなく、枯葉、カーペット、植木鉢、ブロックの下に巣を作る。,窓など侵入口になる場所を塞ぐ。忌避剤を撒く。餌となるものを放置しない,酢、クエン酸、食器用洗剤、重曹を吹きかける,,,"https://ecologia.100nen-kankyo.jp/column/single102.html
",セイコーエコロジア
イエユウレイグモ,,1年中,家の中にコバエ等の餌がいる家屋,一年中見られ、天井や壁の隅などに網を張ってコバエなどを捕食する。 6〜8月に産卵し、雄成体は30〜40個の卵を糸でくるんだ卵のうを口に加えて保護する習性がある,害虫を発生させない、防虫網や隙間テープを取り付ける、ミントやハッカ油等の香りを利用する,ティッシュや箱に詰めて外に逃がす。殺虫剤をかける,,,,
イガ,,5月～７月,衣類、毛織物など各種繊維製品,漢字で衣蛾と書く。成虫の寿命は7～10日ほどしかなく、羽化してすぐに交尾する。卵は7日ほどで孵化し、幼虫は巣を大きくしながら巣の中で脱皮をして発育する。,防虫剤、虫干し、タンスの中の掃除,エアゾール殺虫剤を使う,,,,
カ,,1年中,水たまりができやすい場所、川や河川敷,刺してくる蚊はすべてメスであり、体温が高い人、吐く息が多い人、汗をたくさんかく人が刺されやすい傾向にある,コップ等に水を長時間放置しない,蚊取り線香、柑橘系の香りを撒く,,,,
ガ,,7月中下旬～8月下旬,夜間、街灯などの照明,秋に300～600個の卵をかたまりで建物の外壁や照明近くの樹木などに産み付ける。また、概ね10年周期で大発生し、終息までには3年程度かかると言われている。,防虫ネット、誘蛾灯の使用,卵を発見したら素手で触らないように枝ごと切って排除したり、ビニールで排除する。また、殺虫剤の使用、土中で冬を越す種類が多いため定期的に耕起する,,,,
ガガンボ,,3月～10月頃,湿地や庭園、農地、森林など,ガガンボの脚は脆く、つまむと脚がぽろぽろと取れてしまう。,侵入経路となる窓や網戸の隙間をなくす。遮光カーテンの使用,たたき落とす、殺虫剤の使用,,,,
カナブン,,6月～8月,クヌギのある雑木林、公園,朝方～昼間にかけて活発に活動するが、夜にもみられる。光に向かって飛んでいく習性がある。腐葉土や樹液を食べ、土壌の改善をしてくれるため益虫である。,洗濯物を取り込む前についてないか確認、窓や玄関のドアをしっかり閉める。,ライトを照らして外に誘導する。網で外に逃がす,,,,
カメムシ,,1年中,田んぼや畑の近くにある家、植木鉢や家庭菜園のあるベランダなど,,,,,,,
げじげじ,,,,,,,,,,
コイガ,,,,,,,,,,
コガネムシ,,,,,,,,,,
ゴキブリ,,,,,,,,,,
コクゾウムシ,,,,,,,,,,
コナダニ,,,,,,,,,,
コバエ,,4月～11月ごろ,浴槽、洗濯機、排水溝(管内)、生ごみ、鉢植え,コバエは一度の産卵で200個もの卵を産み、繁殖を繰り返す。腐敗したコバエにも群がり卵を産み付けるため、コバエトラップを使用した際には１週間で必ず廃棄しよう！また、水回りのこまめな掃除も忘れずに！,水回りの掃除、侵入経路を塞ぐ,コバエトラップ(使い捨てカップに半分めんつゆをいれ、数滴食器用洗剤をたらす。気になるところに１週間放置),,,,
シバンムシ,,,,,,,,,,
シミ,,,,,,,,,,
シラミ,,,,,,,,,,
シロアリ,,,,,,,,,,
ダニ,,,,,,,,,,
ダンゴムシ,,,,,,,,,,
チャタテムシ,,,,,,,,,,
チョウバエ,,5月～10月(温暖な場所では1年中),1匹が一度に産む卵はなんと200以上！恐ろしい繁殖力で我々人間に不快感を植え付けます,夜行性のため、昼は台所や風呂場、トイレの壁に静止しており、汚れのある場所を見つけて産卵する。吸血をしたり感染症を引き起こすことはない,水場の掃除、換気、発生源に熱湯をかける、排気口に網を張る、窓・網戸はしっかり閉める,殺虫剤、粘着シートの使用,,,,
テントウムシ,,,,,,,,,,
トコジラミ,,,,,,,,,,
ナメクジ,,,,,,,,,,
ノシメマダラメイガ,,,,,,,,,,
のみ,,,,,,,,,,
ハアリ,,,,,,,,,,
ハエ,,4月～7月、9月～10月ごろ,腐った生ごみ、排泄物、樹液のある場所,ハエには光に向かって寄ってくる「走光性」という性質がある。また、O-157という病原菌を媒介するためしっかり対策しよう！,夜は光が漏れないようにカーテンを閉める、生ごみは密閉する、窓や網戸をしっかり閉める。ハッカ油スプレーを網戸などに散布する(作り方:1無水エタノール10mlに対して、ハッカ油を3～4滴たらす。2水を90ml入れたスプレー容器に手順1で作った液体を入れてよく混ぜる),殺虫スプレー、熱湯をかける、,,,,
ハエトリグモ,,1年中、秋に多い,ハエや害虫のいる家屋,肉食系で、ハエや小さな害虫を食べるため、家の中にハエ等の食料があるとハエトリグモが出現する。餌がなくなったら旅立つため益虫である。,生ゴミ等放置せず、ハエ等の害虫を発生させない,ティッシュや箱に詰めて外に逃がす。殺虫剤をかける,,,,
ハジラミ,,,,,,,,,,
ハチ,,4月～11月ごろ,家の軒下、天井裏、床下、庭,蜂は全体的に視力が悪く、黒・赤・青などの濃い色に攻撃性を高める。また、山では土の中に巣を作るため登山中は気を付けよう！攻撃対象は餌場を荒らすと判断した敵、巣を荒らすと判断した敵。無防備な体制で蜂の警戒範囲に入らないように！,殺虫剤や木酢液を蜂が好みそうな場所に散布する。4～5月にやるとより効果的😊,"明るいほうの窓を開けて出ていくのを待つ、そっとしておき刺激を与えない
刺された場合:刺された部分を指で強くつまんで傷口から毒液をしぼり出しながら、大量の水でよく洗い流して患部を冷水または氷で冷やす。また患部に抗ヒスタミン軟膏を塗る",,,,
カツオブシムシ,,,,,,,,,,
ヒラタキクイムシ,,,,,,,,,,
ボウフラ,,,,,,,,,,
マダニ,,,,,,,,,,
マメゾウムシ,,,,,,,,,,
ムカデ,,5月〜6月、9月〜10月,石やレンガ、落ち葉の下、排水溝,夜行性であり、昼間は石の下等に隠れている。ゴキブリやクモといった昆虫を好むため、ムカデが出現したらそのような環境になっていると考えてよい・,,,,,,
ヤスデ,,,,,,,,,,
ユスリカ,,,,,,,,,,
